Reaction_IDs,sol$fluxes,cpd00002[c0]
rxn00097_c0,6.82121026329696e-13,-1
rxn00117_c0,-1000,-1
rxn00172_c0,999.999999999998,-1
rxn00237_c0,-1000,-1
rxn00285_c0,1.47792889038101e-12,-1
rxn00340_c0,1.13686837721616e-12,-1
rxn00409_c0,-1000,-1
rxn00515_c0,-1000,-1
rxn00839_c0,-1000,-1
rxn01100_c0,-1.36424205265939e-12,-1
rxn01353_c0,1000,-1
rxn01434_c0,-4.54747350886464e-13,-1
rxn01673_c0,1000,-1
rxn01678_c0,1000,-1
rxn01731_c0,1000,-1
rxn05166_c0,193.499999999999,-1
rxn05232_c0,1000,-1
rxn07456_c0,-4.54747350886464e-13,-2
rxn08173_c0,1000,1
rxn10042,193.499999999998,1
